IDENT,Inspection,Maintenance,TimeCost
103492,#2 & 3 INDUCTION TUBE GASKETS LEAKING.,INSTALLED NEW INDUCTION TUBE GASKETS.,9.790055966410064
103493,#3 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKET.,0.6268476018344538
103494,#1 ROCKER COVER LEAKING ON R/H ENGINE.,REMOVED & REPLACED ROCKER COVER.,1.6793257577898135
103495,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",REPLACED INTAKE GASKETS ON R/H ENGINE.,7.65453961200477
103496,"CRACKS IN BAFFLE, FWD R/H SIDE.","REMOVED ALTERNATOR, WIRES & BAFFLE SPRING TO REMOVE ASS",0.9477027055828813
103497,"CRACKS IN BAFFLE, FWD R/H SIDE.",COMPLETED PATCH W/ SAM MATERIAL & PAINTED IAW  SR,8.765336156202688
103498,CYL #1 FWD BAFFLE SEAL IS TORN LOOSE FROM FASTENER.,REMOVED & REPLACED BAFFLE SEAL FASTENER.,6.524042600254387
103499,"#1, 2, 3 & 4 INTAKE GASKETS ARE LEAKING.",REPLACED W/ NEW INTAKE GASKETS.,0.9066336017714127
103500,LEFT & RIGHT SIDE BAFFLE PLUGS LOOSE.,REMOVED & REPLACED W/ NEW BAFFLE PLUGS.,3.1155028421426847
103501,"L/H ENG, #3 INTAKE TUBE GASKET LEAKING.",REMOVED & REPLACED INTAKE GASKET.,7.183963101848728
103502,LEFT ENGINE #3 INTAKE LEAKING.,REPLACED GASKET.,4.407049208970512
103503,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,3.1568389716521628
103504,#1 CYL FWD BAFFLE SEAL HAS A HOLE WORN IN IT.,REPAIRED W/ HIGH TEMP SILICONE.,8.591978030135577
103505,#1 ROCKER COVER LEAKING.,"REMOVED, CLEANED & REPLACED W/ NE GASKET.",2.9210668472403043
103506,"#2, 3 INTAKE GASKETS LEAKING.",REMOVED & REPLACED W/ NEW INTAKE GASKETS.,9.93536227458017
103507,L/H & R/H BAFFLE PLUGS LOOSE & BROKEN.,REMOVED & REPLACED W/ NEW BAFFLE PLUGS.,2.1642685574621376
103508,CYL #4 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,4.945549661667301
103509,"UPON RUN UP, HAD MAG DROP OF 300+ RPM W/ AGGRESSIVE SHAKING.",PERFORMED RUN UP ON ENGINE & NOTED NORMAL INDICATIONS &,8.22598439074585
103510,#2 INTAKE SLIGHT LEAK.,INSTALLED NEW INTAKE GASKET.,5.215104965300492
103511,FWD LWR BAFFLE BLACK SEAL WORN FROM INTAKE.,INSTALLED RTV IN WORN AREAS.,2.049879704834857
103512,BAFFLE PLUGS ARE WORN OUT.,REMOVED & REPLACED PLUGS.,1.650826483384109
103513,#2 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,2.006295138592731
103514,#4 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW #4 INTAKE GASKET.,6.372329230873941
103515,"L/H ENG #2, 3 CYL INTAKE GASKETS LEAKING.","REMOVED & REPLACED L/H ENG CYL #2, 3 INTAKE GASKETS.",3.8006888807366943
103516,R/H ENG #3 & 4 CYL INTAKE GASKETS LEAKING.,REMOVED & REPLACED R/H ENG CYL #3 & 4 INTAKE GASKETS.,3.397599495298137
103517,#4 ROCKER COVER MISSING SCREW.,INSTALLED MISSING SCREW.,1.9697630862566717
103518,"SCREW LOOSE, 1 FOR BAFFLE BEHIND OIL DIPSTICK TUBE.",TIGHTENED LOOSE CYL #3 AFT BAFFLE SCREW.,1.594138142667646
103519,R/H BAFFLE PLUG LOOSE.,INSTALLED NEW BAFFLE PLUG.,3.4609440179403372
103520,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,4.782730773062431
103521,#4 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,4.012395494244297
103522,L/H #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,1.5507608662724581
103523,R/H #1 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,8.82436300941228
103524,#1 INTAKE GASKET IS LEAKING.,INSTALLED NEW GASKET.,3.249614649679856
103525,#2 & 4 ROCKER GASKETS ARE LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKETS.,7.212182998882902
103526,#3 & 4 INTAKES ARE LEAKING.,REPLACED INTAKE GASKETS.,1.6634900475612624
103527,#1 CYL HAS LOW COMPRESSION (30/80).,"RAN A/C, OPS & LEAK CK GOOD.",9.516069812165558
103528,#1 CYL HAS LOW COMPRESSION (30/80).,SERVICED W/ 8 QTS OF MINERAL OIL.,0.5539584002720954
103529,#1 CYL HAS LOW COMPRESSION (30/80).,REMOVED ROCKER COVER & STAKED VALVE W/ NO EFFECT.,0.6547094144131027
103530,#1 CYL HAS LOW COMPRESSION (30/80).,"REMOVED BAFFLING, EXHAUST, ALTERNATOR, AIR INTAKE ELBOW",1.5715296121432443
103531,#1 CYL HAS LOW COMPRESSION (30/80).,"REINSTALLED EXHAUST, BAFFLING, AIR INTAKE ELBOW, #1 INT",7.449369012450825
103532,#2 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED CYL #2 INTAKE GASKET.,8.334951147567654
103533,"#1, 2, 3 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS.,4.47090502498861
103534,L/H & R/H SIDE BAFFLE PLUGS LOOSE & BROKEN.,REMOVED & REPLACED W/ NEW BAFFLE PLUGS.,2.7238214722602274
103535,#2 & 4 CYL HARNESS ANCHORS ARE BROKEN.,INSTALLED NEW STANDOFFS.,6.286185801525712
103536,R/H ENG #4 AFT BAFFLE CRACKED.,STOP DRILLED CRACK.,7.960540191294534
103537,R/H ENG #2 & 4 INTAKE GASKETS ARE LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.,2.151680968132866
103538,ALL 4 INTAKE GASKETS ON L/H ENG ARE LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.,2.0421195985059173
103539,LUECO MARKINGS REQUIRED.,MARKED ENGINE & CYLINDERS.,2.845678839513408
103540,L/H #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,6.122902100165008
103541,R/H #1 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,5.673557085677087
103542,#3 & 4 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.,8.679522307098722
103543,"ENGINE QUIT AT IDLE, LOW RPM DURING TAXI, SMALL ADJUSTMENTS",ATTEMPTED TO START ENGINE SEVERAL TIMES W/ NO SUCCESS.,7.953972685599178
103544,L/H ENG #2 & 3 INTAKES ARE LEAKING.,REPLACED #3 GASKET.,1.8607729913600435
103545,R/H ENG #1 & 3 ROCKER COVERS ARE LEAKING.,LEAK CK GOOD.,9.102743350437098
103546,R/H ENG #4 INTAKE IS LEAKING.,"REPLACED GASKET, CLEANED AREA.",1.920191314557933
103547,R/H ENG #1 & 3 ROCKER COVERS ARE LEAKING.,REPLACED BOTH GASKETS.,4.331111706185315
103548,L/H ENG #2 & 3 INTAKES ARE LEAKING.,REMOVED & REPLACED #2 GASKET.,8.405300341918739
103549,L/H ENG #4 CYL HAS NO COMPRESSION.,REMOVED ROCKER COVER & STAKED VALVE W/ NO EFFORT.,8.515426111033443
103550,L/H ENG #4 CYL HAS NO COMPRESSION.,"REMOVED #4 CYL BAFFLES, OIL LINES & OIL COOLER. REMOVED",9.539486753804225
103551,L/H ENG #4 CYL HAS NO COMPRESSION.,COMPLETED REINSTALLATION OF CYL #4 BAFFLING. REINSTALLE,2.9157015398974853
103552,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,7.628938952107407
103553,#4 ROCKER GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,6.405661803824198
103554,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,6.029954467345745
103555,START ASSIST.,STARTED A/C FOR PILOT.,2.998975077944289
103556,"#1, 2, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED W/ NEW GASKETS.,4.296781399178932
103557,"#4 INTAKE, O/B BOLT LOCK WASHER WRONG POSITION.",INSTALLED NEW LOCK WASHER TO CORRECT POSITION.,3.706416248643911
103558,"#4 INTAKE GASKET LEAKING, R/H ENGINE.",REPLACED GASKET.,3.8050204593412684
103559,R/H ENG #3 BAFFLE SEAL SECTION LOOSE.,REMOVED & REPLACED BAFFLE SEAL.,1.2409265358363497
103560,"ENGINE BAFFLE CRACKED, BEHIND #3 CYL, R/H ENGINE.",STOP DRILLED CRACK.,3.426350231020605
103561,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,4.6448615257170545
103562,#3 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,9.23941576350053
103563,SCREW MISSING ON #1 OUTER CYLINDER BAFFLING.,REPLACED MISSING SCREW W/ REQUIRED HARDWARE.,6.310778096829233
103564,AFT CRANKCASE SPIN BOLT MISSING NUT.,INSTALLED NUT & WASHER. TORQUED.,7.9080614683974115
103565,R/H SIDE BAFFLE PLUG LOOSE W/ TABS BROKEN.,REMOVED & REPLACED W/ NEW BAFFLE PLUG.,8.851138373359404
103566,THROTTLE AT IDLE ENGINE RAN ROUGH.,RAN UP ENGINE TO OPERATING TEMPS. ENGINE IDLE SPEED & M,7.077430408038045
103567,R/H ENG REAR BAFFLE MOUNTING SCREW LOOSE.,TIGHTENED SCREW.,4.251790070436893
103568,#1 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET.,3.553276640002232
103569,"CYL #2, 3 & 4 ROCKER COVER GASKETS ARE LEAKING.",REMOVED & REPLACED GASKETS.,5.476308159942409
103570,TOP OF ENGINE CRANKCASE IS LEAKING OIL THROUGH 2 MIDDLE THRO,REMOVED BOLTS FROM WHERE OIL WAS LEAKING. CLEANED BOLT,0.4017138429959821
103571,"R/H ENG, R/H REAR BAFFLE CRACKED.",STOP DRILLED CRACK.,7.458081386297905
103572,"R/H ENG, L/H REAR BAFFLE SUPPORT CRACKED.",STOP DRILLED CRACK.,7.804888575990593
103573,L/H ENG #2 & 3 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,0.11091759874630736
103574,#4 BAFFLE HAS LOOSE HARDWARE ON R/H ENGINE.,TIGHTENED HARDWARE.,1.774990682587021
103575,INTAKES #2 & 4 LEAKING ON R/H ENGINE.,INSTALLED NEW INTAKE GASKETS.,7.948737393895079
103576,#4 RUBBER BAFFLE SEAL TORN ON R/H ENGINE.,REATTACHED RUBBER BAFFLE SEAL.,0.7282597687183345
103577,"INTAKES #2, 3 & 4 ARE LEAKING ON L/H ENGINE.",REMOVED & REPLACED INTAKE GASKETS.,2.3530791917936966
103578,CYL #2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,9.190314249724796
103579,CYL #4 ROCKER COVER GASKET LEAKING.,REPLACED ROCKER COVER GASKET.,1.1755301736665702
103580,#4 CYL BAFFLE INSP HOLE DOUBLER REQUIRED.,INSTALLED BAFFLE INSP HOLE DOUBLER IAW  SE SRM 51,3.40169752993683
103581,LEFT ENGINE BLEED AIR LINE CHAFING.,REPOSITIONED LINE.,9.437550540823683
103582,L/H AFT COWL I/B ACCESS PANEL SCREW STRIPPED.,REMOVED SCREW & REPLACED W/ NEW.,6.140330283033788
103583,L/H ENGINE REPORTED AS SMOKING AFTER SHUT DOWN.,"INSPECTED PURGE SYSTEM, CK'ED OK.",5.264142352736498
103584,#1 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,4.427926160167034
103585,#2 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,5.66362582946785
103586,#1 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,0.2939671438867053
103587,R/H ENGINE ROUGH DURING TAXI.,RAN A/C & CONFIRMED DISCREP. INSPECTED #3 CYL W/ BORESC,9.262429256839212
103588,CYL #1 ROCKER GASKET LEAKING.,REMOVED & REPLACED GASKET.,3.04864911469502
103589,#1 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,2.335448850194395
103590,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,2.071186575436863
103591,START ASSIST.,STARTED A/C FOR PILOT.,7.181679180963637
103592,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,5.018653146399132
103593,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,4.463794891231638
103594,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,2.325735890621555
103595,#2 INTAKE LEAKS.,REMOVED & REPLACED W/ NEW INTAKE GASKET.,6.458499694246608
103596,#2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,9.806046305648751
103597,#3 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,1.6493078485586399
103598,L/H ENGINE BAFFLE CRACKED.,FABRICATED PATCH FOR SIDE BAFFLE. DRILLED & RIVETED PAT,8.766758035059702
103599,R/H #3 ROCKER COVER LEAKING.,"REMOVED, CLEANED & INSTALLED NEW GASKET.",1.0506049991869404
103600,R/H ENGINE #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,9.54445995307635
103601,"L/H ENGINE #2, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS W/ NEW.,5.008852340620279
103602,#2 INTAKE GASKET LEAKING.,INSTALLED NEW #2 INTAKE GASKET.,7.325524585269903
103603,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,4.078714752503099
103604,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,1.828562217436156
103605,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,9.02721705344091
103606,L/H ENG #4 CYL SIDE BAFFLE IS MISSING A BOLT.,INSTALLED NEW HARDWARE.,6.909900248602926
103607,R/H ENG #4 CYL ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,4.179386515360988
103608,L/H ENG #2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,1.6928002865249092
103609,#3 ROCKER COVER GASKET LEAKING.,"REMOVED, CLEANED & INSTALLED NEW GASKET.",9.021156814648826
103610,"COWL SEAL, ABOVE #3 CYL BAFFLE, FELL OFF RIVET.",REMOVED & REPLACED RIVET.,2.9863301121177956
103611,#3 INTAKE GASKET LEAKS ON L/H ENGINE.,"REMOVED, CLEANED & INSTALLED NEW GASKET.",0.5677709252532226
103612,#2 & 4 INTAKE GASKETS LEAKING ON R/H ENGINE.,REMOVED & REPLACED W/ NEW GASKETS.,3.542969160198112
103613,"R/H ENGINE, R/H FRONT ENGINE BAFFLE SEAL NEEDS TO BE RESECUR","RESECURED R/H ENGINE, R/H FRONT ENGINE BAFFLE SEAL.",4.38050191081495
103614,"L/H #2, 3 & 4 INTAKE TUBE GASKETS LEAKING.","REPLACED L/H #2, 3, 4 INTAKE GASKETS.",6.879105529111742
103615,BOTH BAFFLE PLUG TABS BROKEN OFF.,INSTALLED NEW PLUGS.,0.4758412625194397
103616,#2 & 4 CYL INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,8.918636978930975
103617,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,0.3087251182117823
103618,#4 CYLINDER HARNESS CLAMP BROKEN.,INSTALLED NEW CLAMP.,5.669327092809857
103619,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.,4.596917442059102
103620,"DEPARTING 17L @ 2450 LBS, DURING CLIMB OUT @ 2000' MSL, WERE","PERFORMD FULL GROUND RUN, NO DEFECTS NOTED. MX FLIGHT R",3.441398132099349
103621,#4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,4.981715294215142
103622,SCREW MISSING ON #3 BAFFLE BRACKET.,FOUND SCREW & REINSTALLED.,6.218535797976813
103623,FOUND BROKEN COVER SCREW ON GROUND.,"REMOVED COWL, ALL SCREWS ACCOUNTED FOR. REPLACED COWL.",6.940353922596898
103624,L/H FWD #2 ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,3.33454243368303
103625,#1 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,4.678628511671384
103626,#4 ROCKER GASKET LEAKING.,TIGHTENED LOOSE BOLTS.,9.545504857086263
103627,#2 CYL BAFFLE SEAL NEEDS TO BE SECURED.,RESECURED CYL #2 SIDE BAFFLE SEAL.,2.5400861047999523
103628,#1 CYL FWD BAFFLE CRACKED.,STOP DRILLED CRACK.,6.446101165694857
103629,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,0.4339491823616526
103630,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",OPS & LEAK CK'ED GOOD.,3.908212984398056
103631,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",REMOVED PUSH RODS & VALVE SPRING. FOUND STEP ON INTAKE,7.378508437687729
103632,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",REPLACED CYLINDER W/ NEW CYL ASSY. TORQUED TO CASE. DRY,0.1561590851922734
103633,"L/H ENG, L/H BAFFLE TIE ROD BROKEN.",REMOVED & REPLACED BROKEN BAFFLE TIE.,4.77372412768977
103634,CYL #3 PUSH ROD TUBE ADEL CLAMP HAS WORN RUBBER.,REMOVED & REPLACED ADEL CLAMP.,3.2099563957753507
103635,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.,3.6140643990062804
103636,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 CYL ROCKER COVER GASKET.,0.9609138503220083
103637,"UPON RUN UP, ROUGH MAG & NOT W/IN TOLERANCE. RAN FOULED PROC",RAN A/C & FOUND R/H MAG TO HAVE ROUGH MAG DROP. REMOVED,5.801760574436691
103638,START ASSIST REQUIRED.,STARTED A/C USING NORMAL PROCEDURES.,7.414888637925716
103639,START ASSIST REQUIRED.,STARTED A/C USING NORMAL PROCEDURES.,7.504771135337541
103640,#4 INTAKE GASKET LEAKING.,"REMOVED, CLEANED & REPLACED W/ NEW GASKET.",0.9278141139539275
103641,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,9.55647275433434
103642,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,1.5677453607934233
103643,#2 & 4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,9.59950743147791
103644,"ENGINE BAFFLE CRACKED, ABOVE #1 CYL.",STOP DRILLED CRACK.,9.429421607001089
103645,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,7.113980509554625
103646,CYL #2 & 4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,5.436193829574961
103647,ROCKER COVER GASKET CYL #3 & 4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,9.407963318032852
103648,R/H BAFFLE SPRING BROKEN.,INSTALLED NEW BAFFLE SPRING.,6.380739758485828
103649,#2 CYL INTAKE GASKET LEAKING.,REPLACED INTAKE GASKET.,5.836533857246895
103650,#1 CYL ROCKER COVER LEAKING.,REPLACED ROCKER COVER GASKET.,4.150884897867817
103651,R/H #3 INTAKE GASKET IS LEAKING.,REPLACED #3 INTAKE GASKET.,5.584150166744005
103652,R/H #3 AFT BAFFLE SEAL HAS A HOLE.,REMOVED SEAL & INSTALLED NEW SEAL W/ POP RIVETS.,5.080551370512336
103653,CYL #3 BAFFLE SCREW LOOSE.,TIGHTENED #3 CYL BAFFLE SCREW.,7.786400310132649
103654,L/H ENG INTAKE 2 & 3 LEAKING.,REMOVED & REPLACED GASKETS.,6.956695983166442
103655,BAFFLE SEAL LOOSE ABOVE #4 CYL ON L/H ENGINE.,SECURED BAFFLE SEAL.,0.1042009744741379
103656,OIL COOLERS DIRTY.,CLEANED FWD & AFT OIL COOLERS.,0.3310344794582065
103657,SNIFFLER VALVES DIRTY.,"REMOVED, CLEANED & REINSTALLED BOTH SNIFFLER VALVES.",6.031319677926562
103658,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,4.07831952757634
103659,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,1.4656276332779772
103660,CRACK EXTENDING BEYOND STOP DRILL ON UPPER #2 CYL BAFFLE.,STOP DRILLED CRACK.,7.724284325020151
103661,#2 INTAKE GASKET LEAKING.,LEAK CK GOOD.,8.512711044673916
103662,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,5.8516027777796396
103663,#3 ROCKER COVER GASKET LEAKING.,LEAK CK GOOD.,0.2896026255409456
103664,#3 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,9.42901873665251
103665,#3 AFT BAFFLE SCREW APPEARS TO BE LOOSE BEHIND DIPSTICK TUBE,TIGHTENED SCREW.,1.5594705014990329
103666,FWD LWR ENG SEAL WORN ABOVE AIR INTAKE.,FILLED IN WORN SPOTS W/ BLACK RTV.,6.776430625217031
103667,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,0.7965300790187058
103668,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,8.748016988980279
103669,L/H ENG #2 BAFFLE LOOSE.,SECURED BAFFLE SECTION.,0.8615433777845494
103670,"#1, 2, 4 ROCKER GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS.",8.908190127538818
103671,"#2, 3, 4 INTAKE GASKETS LEAKING ON L/H ENG.",REMOVED & REPLACED INTAKE GASKETS.,1.8767342837477796
103672,#1 ROCKER COVER GASKET LEAKING ON R/H ENG.,REMOVED & REPLAED ROCKER COVER GASKET.,3.873373844997803
103673,#3 ROCKER COVER GASKET LEAKING ON L/H ENG.,REMOVED & REPLACED ROCKER COVER GASKET.,9.57440991285565
103674,#3 & 4 INTAKE GASKETS LEAKING ON R/H ENG.,REMOVED & REPLACED INTAKE GASKETS ON R/H ENGINE.,5.357047737719328
103675,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,1.596143910723965
103676,#4 CYL ROCKER COVER IS MISSING SCREW.,INSTALLED NEW SCREW.,7.659284644324735
103677,R/H ENG #3 INTAKE TUBE GASKET LEAKING.,"REMOVED, CLEANED & REPLACED W/ NEW GASKET.",0.684540917391876
103678,"L/H ENG #2, 3 & 4 INTAKE TUBE GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS.",5.413085964289
103679,"L/H ENG #1, 2, 3 & 4 ROCKER BOX COVER GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS.",3.127848535349754
103680,#3 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKET.,6.750629283233684
103681,#2 ROCKER GASKET LEAKING.,TIGHTENED BOLTS.,4.366401507732452
103682,#1 CYL ROCKER GASKET LEAKING.,REPLACED GASKET.,6.026528124904562
103683,"#2, 4 CYLINDER INTERCOOLING BAFFLE WIRE NEEDS TO BE REPOSITI",REPOSITIONED WIRE IN NEW BAFFLE SLOT & APPLIED SPIRAL W,8.73040929701992
103684,R/H ENG #3 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,0.06024380662868478
103685,#2 & 4 CYL INTAKES LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.,6.751826409588606
103686,BAFFLE PLUG OUT,INSTALLED PLUG,8.99037503388419
103687,SHORT DIPSTICK INSTALLED,REMOVED SHORT DIPSTICK AND INSTALLED LONG ONE,9.415519934503449
103688,FWD LWR SEAL ON BAFFLING WORN AT AIR INTAKE.,INSTALLED RTV TO AREAS.,2.4542668719333105
103689,L/H ENG ALL ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,9.63243066757108
103690,L/H ENG #1 ROCKER COVER GASKET LEAKING.,REMOVED OLD GASKET & REPLACED W/ NEW.,5.488487273381605
103691,L/H ENG #4 INTAKE GASKET LEAKING.,"REMOVED OLD GASKET, REPLACED W/ NEW GASKET.",6.013581119680679
103692,#4 INTAKE GASKET LEAKING.,INSTALLED NEW GASKET.,1.977788736383248
103693,BAFFLE PLUGS NEED TO BE REPLACED.,INSTALLED NEW BAFFLE PLUGS.,9.497135089952685
103694,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",REMOVED PISTON & INJECTOR.,8.622947893974585
103695,#2/4 BAFFLE CONNECT WIRE INSTALLED BELOW INTERCYLINDER BAFFL,REROUTED BAFFLE CONNECT WIRE.,3.5482626347847934
103696,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",RAN ENGINE. OPS & LEAK CK GOOD.,3.963501488611602
103697,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",REMOVED CYL #4 & VERIFIED EXHAUST VALVE TO BE BURNT.,9.883562898800438
103698,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.","BEGAN CYLINDER REMOVAL, EXH STACK, INTAKE TUBE & BAFFLE",3.9992848298001427
103699,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",INSTALLED NEW CYL & PISTON KIT IAW LYCOM,8.080773217792297
103700,CYL #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,0.9842979170442889
103701,BAFFLE PLUGS ARE WORN.,INSTALLED NEW BAFFLE PLUGS.,2.304315602050483
103702,ENGINE BAFFLE SCREW LOOSE BEHIND OIL FILLER TUBE.,TIGHTENED SCREW.,5.026640237294945
103703,CABLE SHEATH LOOSE ON PILOTS SEAT.,SECURED CABLE SHEATH. OPS CK GOOD.,0.8955774362686619
103704,SNIFFLER VALVES DIRTY.,CLEANED BOTH SNIFFLER VALVES.,1.8995775497820944
103705,#3 BAFFLE SEAL RIVETS LOOSE.,REMOVED & INSTALLED NEW RIVET IAW  SE SRM 51-40-0,0.2599985230049995
103706,TOP BOLT ON ENGINE CASE LEAKING.,CLEANED & SEALED BOLTS.,1.4616107772702513
103707,#4 CYLINDER INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,2.569790691924543
103708,ENGINE BAFFLE CRACKED ABOVE #1 CYL.,STOP DRILLED CRACK.,3.780460245645515
103709,#2 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW INTAKE GASKET.,7.597544551487852
103710,MISSING SCREW ON CYL #3 BAFFLE.,INSTALLED SCREW.,8.502710239015363
103711,"R/H AFT ENGINE BAFFLE SCREW MISSING, SECURED TO ENGINE CASE.",INSTALLED SCREW ON ENGINE BAFFLE.,2.098368380331612
103712,"#1, 2, 3, 4 ROCKER COVER GASKETS NEED TO BE REPLACED.",REMOVED & REPLACED ROCKER COVER GASKETS.,3.4139640234783633
103713,"MISSING BAFFLE SCREW ON R/H UPPER ROCKER COVER, #1 CYL.",INSTALLED NEW BAFFLE SCREW ON R/H #1 CYL BAFFLE.,8.515219144758913
103714,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,5.18910360243824
